dhcpserver,ipaddr,scopeid,mac,description,name
10.8.0.31,10.11.30.3,10.11.30.0,f8-b1-56-d1-08-75,Lynne McCoy,BOE-439-701.bryan.k12.ga.us
10.8.0.31,10.11.30.200,10.11.30.0,00-04-f2-77-b0-62,,Polycom_0004f277b062.bryan.k12.ga.us
10.8.0.31,10.11.30.1,10.11.30.0,3c-4a-92-44-65-24,,NPI446524.bryan.k12.ga.us
10.8.0.31,10.11.30.100,10.11.30.0,00-04-f2-df-57-91,exten 4019,Polycom_0004f2df5791.bryan.k12.ga.us
10.8.0.31,10.11.30.4,10.11.30.0,30-24-a9-07-31-bd,,HP0731BD.bryan.k12.ga.us
10.8.0.31,10.11.30.54,10.11.30.0,f8-0d-ac-d3-6e-50,,NPID36E50.bryan.k12.ga.us
10.8.0.31,10.11.30.68,10.11.30.0,30-24-a9-5f-15-16,,HP5F1516.bryan.k12.ga.us
10.8.0.31,10.11.30.82,10.11.30.0,30-24-a9-c6-55-b8,,HPC655B8.bryan.k12.ga.us
10.8.0.31,10.11.30.22,10.11.30.0,00-04-f2-d5-08-27,,Polycom_0004f2d50827.bryan.k12.ga.us
10.8.0.31,10.11.30.75,10.11.30.0,00-04-f2-db-9c-09,,Polycom_0004f2db9c09.bryan.k12.ga.us
10.8.0.31,10.11.30.77,10.11.30.0,90-8d-6e-1e-9b-52,,BOE-FIN-L101.bryan.k12.ga.us
10.8.0.31,10.11.30.71,10.11.30.0,b4-22-00-45-20-1b,,BRNB4220045201B.bryan.k12.ga.us
10.8.0.31,10.11.30.48,10.11.30.0,b4-22-00-45-20-0c,,BRNB4220045200C.bryan.k12.ga.us
10.8.0.31,10.11.30.29,10.11.30.0,6c-20-56-52-6a-74,,BlackCreek.rm124.6a74
10.8.0.31,10.11.30.59,10.11.30.0,00-04-f2-df-56-b8,,Polycom_0004f2df56b8.bryan.k12.ga.us
10.8.0.31,10.11.30.5,10.11.30.0,00-17-c8-8c-dd-2a,,KM8CDD2A.bryan.k12.ga.us
10.8.0.31,10.11.30.101,10.11.30.0,00-04-f2-df-55-62,,Polycom_0004f2df5562.bryan.k12.ga.us
10.8.0.31,10.11.30.45,10.11.30.0,84-69-93-f3-6f-50,,NPIF36F50.bryan.k12.ga.us
10.8.0.31,10.11.30.67,10.11.30.0,84-69-93-f3-5f-67,,NPIF35F67.bryan.k12.ga.us
10.8.0.31,10.11.30.102,10.11.30.0,84-69-93-f3-5f-28,,
10.8.0.31,10.11.30.105,10.11.30.0,6c-3c-7c-c7-27-80,,PRO-4100Sipc72780.bryan.k12.ga.us
10.8.0.31,10.11.30.25,10.11.30.0,38-ca-84-ce-dc-eb,,
10.8.0.31,10.11.30.74,10.11.30.0,18-60-24-c4-d3-f7,,NPIC4D3F7.bryan.k12.ga.us
10.8.0.31,10.11.30.104,10.11.30.0,7c-57-58-b3-56-31,,NPIB35631.bryan.k12.ga.us
10.8.0.31,10.11.30.23,10.11.30.0,7c-57-58-2b-ac-6f,,
10.8.0.31,10.11.30.31,10.11.30.0,7c-4d-8f-23-20-c5,,
10.8.0.31,10.11.30.106,10.11.30.0,7c-57-58-b3-66-b7,,NPIB366B7.bryan.k12.ga.us
10.8.0.31,10.11.30.110,10.11.30.0,e8-39-35-93-47-ea,,NPI9347EA.bryan.k12.ga.us
10.8.0.31,10.11.30.33,10.11.30.0,e0-73-e7-ea-38-9d,,NPIEA389D.bryan.k12.ga.us
10.8.0.31,10.11.30.61,10.11.30.0,b0-0c-d1-25-80-c6,,NPI2580C6.bryan.k12.ga.us
10.8.0.31,10.11.30.79,10.11.30.0,7c-57-58-2b-9c-ab,,
10.8.0.31,10.11.30.89,10.11.30.0,38-22-e2-d7-37-d5,CO-HP454dn-T&LSuite,HPD737D5.bryan.k12.ga.us
10.8.0.31,10.11.30.39,10.11.30.0,00-17-c8-b1-b6-94,Kyocera Finance EQ13136,KMB1B694.bryan.k12.ga.us
10.8.0.31,10.11.30.103,10.11.30.0,00-17-c8-52-2b-87,Kyocera Front Desk EQ13124,KM522B87.bryan.k12.ga.us
10.8.0.31,10.11.30.57,10.11.30.0,00-17-c8-b1-89-cb,Kyocera SPED EQ13138,KMB189CB.bryan.k12.ga.us
10.8.0.31,10.11.30.88,10.11.30.0,14-cb-19-80-63-0a,HP Color LaserJet M555,NPI80630A.bryan.k12.ga.us
10.8.0.31,10.11.30.119,10.11.30.0,7c-57-58-32-44-00,Finance HP Color Laserjet M653,NPI324400
10.8.0.31,10.11.30.120,10.11.30.0,7c-57-58-31-e1-4b,BOE_Hr-HpClJM653,NPI31E14B
10.8.0.31,10.11.30.118,10.11.30.0,4c-d7-17-19-78-12,,BOE-23-CQCK4Y3.bryan.k12.ga.us
10.8.0.31,10.11.30.37,10.11.30.0,e0-73-e7-e6-e1-fb,,
10.8.0.31,10.11.30.133,10.11.30.0,00-18-85-4f-b3-2d,,C12-0W-H5A-FE-DC1-112311133213.AVIGILON
10.8.0.31,10.11.30.131,10.11.30.0,00-18-85-4f-f1-af,,C5-0C-H5M-DO1-IR-102311239215.AVIGILON
10.8.0.31,10.11.30.92,10.11.30.0,00-18-85-50-51-3d,,C15C-H5A-3MH-112312063677.AVIGILON
10.8.0.31,10.11.30.126,10.11.30.0,00-18-85-50-33-07,,C5-0C-H6SL-BO1-IR-112312025943.AVIGILON
10.8.0.31,10.11.30.2,10.11.30.0,bc-0f-f3-98-a9-15,,
10.8.0.31,10.11.30.34,10.11.30.0,fc-3f-db-4f-74-ca,,NPI4F74CA.bryan.k12.ga.us
10.8.0.31,10.11.30.72,10.11.30.0,2c-59-e5-76-97-4b,,NPI76974B.bryan.k12.ga.us
10.8.0.31,10.11.30.51,10.11.30.0,f4-ce-46-49-21-6a,,NPI49216A.bryan.k12.ga.us
10.8.0.31,10.11.30.35,10.11.30.0,a4-5d-36-b6-ae-ec,TL HP Z5600,NPIA45D36B6AEEC.bryan.k12.ga.us
10.8.0.31,10.11.30.49,10.11.30.0,84-8f-69-af-fb-33,,BOE-DAS-LT-703.bryan.k12.ga.us
10.8.0.31,10.11.30.42,10.11.30.0,48-4d-7e-da-32-c9,,BCBOE-TS-N-105.bryan.k12.ga.us
10.8.0.31,10.11.30.64,10.11.30.0,2c-41-38-83-a9-e3,,NPI83A9E3.bryan.k12.ga.us
10.8.0.31,10.11.30.28,10.11.30.0,b0-0c-d1-25-90-35,,CO-Jhabets.bryan.k12.ga.us
10.8.0.31,10.11.30.78,10.11.30.0,98-e7-f4-a1-db-4e,BOE-126-HP553,NPIA1DB4E.bryan.k12.ga.us
10.8.0.31,10.11.30.19,10.11.30.0,e4-e7-49-59-e8-eb,,NPI59E8EB.bryan.k12.ga.us
10.8.0.31,10.11.30.38,10.11.30.0,00-17-c8-6d-13-18,,KM6D1318.bryan.k12.ga.us
10.8.0.31,10.11.30.69,10.11.30.0,f4-8e-38-7b-a3-0c,,pxe-installer.bryan.k12.ga.us
10.8.0.31,10.11.30.63,10.11.30.0,80-3f-5d-09-7d-c7,,BOE-49S83D3.bryan.k12.ga.us
